name,ra,dec,alias
C-1,11.100000,85.333333,NGC188/Polarissma Cluster
C-2,3.250000,72.533333,NGC40/Bow Tie Nebula
C-3,184.175000,69.466667,NGC4236
C-4,315.450000,68.200000,NGC7023/Iris Nebula
C-5,56.700000,68.100000,IC342/Hidden Galaxy
C-6,269.650000,66.633333,NGC6543//Cat's Eye Nebula
C-7,114.225000,65.600000,NGC2403
C-8,22.375000,63.300000,NGC559
C-9,344.200000,62.616667,Sh2-155/Cave Nebula
C-10,26.500000,61.250000,NGC663
C-11,350.175000,61.200000,NGC7635/Sh2-162/Bubble Nebula
C-12,308.700000,60.150000,NGC6946
C-13,19.775000,58.333333,NGC457
C-14,35.000000,57.133333,NGC869/NGC884
C-15,296.200000,50.516667,NGC6826
C-16,333.825000,49.883333,NGC7243
C-17,8.300000,48.500000,NGC147
C-18,9.750000,48.333333,NGC185
C-19,328.375000,47.266667,IC5146/Sh2-125
C-20,314.700000,44.333333,NGC7000/Sh2-117
C-21,187.050000,44.100000,NGC4449
C-22,351.475000,42.550000,NGC7662
C-23,35.650000,42.350000,NGC891
C-24,49.950000,41.516667,NGC1275
C-25,114.525000,38.883333,NGC2419
C-26,184.375000,37.816667,NGC4244
C-27,303.000000,38.350000,NGC6888/Sh2-105
C-28,29.450000,37.683333,NGC752
C-29,197.725000,37.050000,NGC5005
C-30,339.275000,34.416667,NGC7331
C-31,79.050000,34.266667,IC405/Sh2-229
C-32,190.525000,32.533333,NGC4631
C-33,314.100000,31.716667,NGC6992
C-34,311.425000,30.716667,NGC6960
C-35,195.025000,27.983333,NGC4889
C-36,189.000000,27.966667,NGC4559
C-37,303.000000,26.483333,NGC6885
C-38,189.075000,25.983333,NGC4565
C-39,112.300000,20.916667,NGC2392
C-40,170.025000,18.350000,NGC3626
C-41,66.750000,16.000000,Mel25/Hyades
C-42,315.375000,16.183333,NGC7006
C-43,0.825000,16.150000,NGC7814
C-44,346.225000,12.316667,NGC7479
C-45,204.375000,8.883333,NGC5248
C-46,99.800000,8.733333,NGC2261
C-47,308.550000,7.400000,NGC6934
C-48,137.575000,7.033333,NGC2775
C-49,98.075000,5.050000,NGC2237/Sh2-275
C-50,98.100000,4.866667,NGC2244
C-51,16.200000,2.116667,IC1613
C-52,192.150000,-5.800000,NGC4697
C-53,151.300000,-7.716667,NGC3115
C-54,120.050000,-10.783333,NGC2506
C-55,316.050000,-11.366667,NGC7009
C-56,11.750000,-11.883333,NGC246
C-57,296.225000,-14.800000,NGC6822
C-58,109.450000,-15.616667,NGC2360
C-59,156.200000,-18.633333,NGC3242
C-60,180.475000,-18.866667,NGC4038
C-61,180.475000,-18.883333,NGC4039
C-62,11.775000,-20.766667,NGC247
C-63,337.400000,-20.800000,NGC7293
C-64,109.700000,-24.950000,NGC2362
C-65,11.900000,-25.283333,NGC253
C-66,219.900000,-26.533333,NGC5694
C-67,41.575000,-30.283333,NGC1097
C-68,285.475000,-36.950000,NGC6729
C-69,258.425000,-37.100000,NGC6302
C-70,13.725000,-37.683333,NGC300
C-71,118.075000,-38.550000,NGC2477
C-72,3.725000,-39.183333,NGC55
C-73,78.525000,-40.050000,NGC1851
C-74,151.925000,-40.433333,NGC3132
C-75,246.400000,-40.666667,NGC6124
C-76,253.500000,-41.800000,NGC6231
C-77,201.375000,-43.016667,NGC5128
C-78,272.000000,-43.700000,NGC6541
C-79,154.400000,-46.416667,NGC3201
C-80,201.700000,-47.483333,NGC5139
C-81,261.375000,-48.416667,NGC6351
C-82,250.325000,-48.766667,NGC6193
C-83,196.350000,-49.466667,NGC4945
C-84,206.600000,-51.366667,NGC5286
C-85,130.050000,-53.066667,IC2391
C-86,265.175000,-53.666667,NGC6397
C-87,48.075000,-55.216667,NGC1261
C-88,226.425000,-55.600000,NGC5823
C-89,244.725000,-57.900000,NGC6087
C-90,140.350000,-58.316667,NGC2867
C-91,166.600000,-58.666667,NGC3532
C-92,160.950000,-59.866667,NGC3372
C-93,287.725000,-59.983333,NGC6752
C-94,193.400000,-60.333333,NGC4755
C-95,240.925000,-60.500000,NGC6025
C-96,119.575000,-60.866667,NGC2516
C-97,174.025000,-61.616667,NGC3766
C-98,190.575000,-62.966667,NGC4609
C-99,193.250000,-63.000000,
C-100,174.150000,-63.033333,IC2944/Sh2-8
C-101,287.450000,-63.850000,NGC6744
C-102,160.800000,-64.400000,IC2602
C-103,84.675000,-69.100000,NGC2070
C-104,15.800000,-70.850000,NGC362
C-105,194.900000,-70.883333,NGC4833
C-106,6.025000,-72.083333,NGC104
C-107,246.450000,-72.200000,NGC6101
C-108,186.450000,-72.666667,NGC4372
C-109,152.375000,-80.866667,NGC3195
