name,alias,ra,dec
Aquila,Aql,295.0083,3.4114
Andromeda,And,12.1958,37.4314
Ara,Ara,260.7042,-56.5883
Cetus,Cet,25.0417,-7.1794
Aries,Ari,39.5667,20.7928
Pyxis,Pyx,134.3042,-27.3528
Bootes,Boo,220.6833,31.2044
Caelum,Cae,70.6125,-37.8806
Chamaeleon,Cha,160.4625,-79.2083
Cancer,Cnc,129.9667,19.8097
Capricornus,Cap,315.7292,-18.0236
Carina,Car,130.4167,-63.2194
Cassiopeia,Cas,19.8167,62.1844
Centaurus,Cen,196.1042,-47.3450
Cepheus,Cep,330.0000,71.0014
Coma Berenices,Com,191.8875,23.3094
Canes Venatici,CVn,196.7417,40.1028
Auriga,Aur,91.1083,42.0294
Columba,Col,87.9417,-35.0942
Circinus,Cir,218.3667,-63.0286
Corvus,Crv,186.6750,-18.4389
Crater,Crt,170.9375,-15.9256
Corona Australis,CrA,279.6625,-41.1472
Corona Borealis,CrB,237.6625,32.6206
Crux,Cru,186.7458,-60.1861
Cygnus,Cyg,308.8667,44.5444
Delphinus,Del,310.4417,11.6739
Dorado,Dor,78.6292,-59.3889
Draco,Dra,226.2167,67.0011
Scutum,Sct,280.1625,-9.8856
Eridanus,Eri,49.5083,-28.7528
Sagitta,Sge,294.7625,18.8600
Fornax,For,41.9667,-31.6356
Gemini,Gem,106.1000,22.6003
Camelopardalis,Cam,132.8875,69.3814
Canis Major,CMa,102.4417,-22.1361
Ursa Major,UMa,169.7667,50.7194
Grus,Gru,336.8625,-46.3528
Hercules,Her,260.7917,27.4981
Horologium,Hor,49.1917,-53.3383
Hydra,Hya,174.1875,-14.5256
Hydrus,Hyi,35.1625,-69.9528
Indus,Ind,329.5375,-59.7111
Lacerta,Lac,336.9167,46.0428
Monoceros,Mon,105.9125,0.2814
Lepus,Lep,83.3375,-19.0467
Leo,Leo,160.0125,13.1356
Lupus,Lup,228.3292,-42.7094
Lynx,Lyn,119.9875,47.4667
Lyra,Lyr,282.8042,36.6894
Antlia,Ant,154.1125,-32.4861
Microscopium,Mic,314.4667,-36.2708
Musca,Mus,188.8667,-70.1528
Octans,Oct,345.0000,-82.1528
Apus,Aps,242.1625,-75.3000
Ophiuchus,Oph,260.9625,-7.9106
Orion,Ori,83.8625,5.9489
Pavo,Pav,294.1792,-65.7808
Pegasus,Peg,340.4667,19.4658
Pictor,Pic,85.6167,-53.4750
Perseus,Per,47.6250,45.0022
Equuleus,Equ,317.8417,7.7636
Canis Minor,CMi,114.8042,6.4258
Leo Minor,LMi,153.7250,32.1356
Vulpecula,Vul,303.4667,24.4489
Ursa Minor,UMi,225.0000,77.6972
Phoenix,Phe,13.9792,-48.5789
Piscis Austrinus,PsA,334.2792,-30.6372
Volans,Vol,116.9625,-69.8022
Pisces,Psc,7.2417,13.6872
Puppis,Pup,108.8667,-31.1783
Norma,Nor,238.5750,-51.3528
Reticulum,Ret,58.8625,-59.9847
Sagittarius,Sgr,286.4917,-28.4764
Scorpius,Sco,253.3500,-27.0525
Sculptor,Scl,6.5667,-32.0850
Serpens,Ser,254.2667,6.1200
Sextans,Sex,154.1125,-2.6136
Mensa,Men,81.3750,-77.5067
Taurus,Tau,70.5542,14.8764
Telescopium,Tel,356.9667,-65.8300
Tucana,Tuc,32.7792,31.4789
Triangulum,Tri,241.2458,32.3894
Triangulum Australe,TrA,288.9917,-51.0358
Aquarius,Aqr,334.4417,-10.7964
Virgo,Vir,201.1625,-4.1642
Vela,Vel,143.9167,-47.1672
